Path,Sample,FileName,Reference,Group,Outgroup
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13557/,240826Chi_D24-13557,240826Chi_D24-13557,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13558/,240826Chi_D24-13558,240826Chi_D24-13558,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13559/,240826Chi_D24-13559,240826Chi_D24-13559,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13560/,240826Chi_D24-13560,240826Chi_D24-13560,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13561/,240826Chi_D24-13561,240826Chi_D24-13561,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13562/,240826Chi_D24-13562,240826Chi_D24-13562,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13569/,240826Chi_D24-13569,240826Chi_D24-13569,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13570/,240826Chi_D24-13570,240826Chi_D24-13570,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13571/,240826Chi_D24-13571,240826Chi_D24-13571,MED4,MED4-MIT1002,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13554/,240826Chi_D24-13554,240826Chi_D24-13554,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13555/,240826Chi_D24-13555,240826Chi_D24-13555,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13556/,240826Chi_D24-13556,240826Chi_D24-13556,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13563/,240826Chi_D24-13563,240826Chi_D24-13563,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13564/,240826Chi_D24-13564,240826Chi_D24-13564,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13565/,240826Chi_D24-13565,240826Chi_D24-13565,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13566/,240826Chi_D24-13566,240826Chi_D24-13566,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13567/,240826Chi_D24-13567,240826Chi_D24-13567,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13568/,240826Chi_D24-13568,240826Chi_D24-13568,MED4,MED4Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13572/,240826Chi_D24-13572,240826Chi_D24-13572,MITS9451,MITS9451Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13573/,240826Chi_D24-13573,240826Chi_D24-13573,MITS9451,MITS9451Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13574/,240826Chi_D24-13574,240826Chi_D24-13574,MITS9451,MITS9451Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13575/,240826Chi_D24-13575,240826Chi_D24-13575,MITS9451,MITS9451Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13576/,240826Chi_D24-13576,240826Chi_D24-13576,MITS9451,MITS9451Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13577/,240826Chi_D24-13577,240826Chi_D24-13577,MITS9451,MITS9451Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13578/,240826Chi_D24-13578,240826Chi_D24-13578,MITS9451,MITS9451Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13579/,240826Chi_D24-13579,240826Chi_D24-13579,MITS9451,MITS9451Xe,0
/orcd/data/chisholm/002/hstor001/nvo/projects/25_AllisonPhageVariantCalling/variant-calling/modified-widevariant-workflow/0-input/raw_reads/240826Chi_D24-13580/,240826Chi_D24-13580,240826Chi_D24-13580,MITS9451,MITS9451Xe,0
